              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1500000000000000E+02   0.1600000000000000E+03   0.7888311035145155E-01   0.3527472448848603E-01  -0.1309669182136331E-01  -0.3603208550451390E+05  -0.6628557165245651E+05   0.3830000000000000E+00   0.2623160000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1900000000000000E+02   0.1600000000000000E+03   0.8013839095646511E-01   0.2301341594113668E+00  -0.2329592452888320E+00  -0.3666650524150375E+05  -0.6628557164238110E+05   0.5165000000000000E+00   0.4423859999999999E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2300000000000000E+02   0.1600000000000000E+03   0.7941470284663699E-01   0.2840089919216260E+00  -0.2872093127511682E+00  -0.3708354563960672E+05  -0.6628557164196267E+05   0.7793000000000000E+00   0.7065079999999999E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2700000000000000E+02   0.1600000000000000E+03   0.7951132809144877E-01   0.3545429106141044E+00  -0.3550206551196030E+00  -0.3738607461288917E+05  -0.6628557164195877E+05   0.1145000000000000E+01   0.1071177000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3100000000000000E+02   0.1600000000000000E+03   0.7929492069631999E-01   0.4026344883403697E+00  -0.4041353780397439E+00  -0.3762409217486846E+05  -0.6628557164195871E+05   0.1587100000000000E+01   0.1511414000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3500000000000000E+02   0.1600000000000000E+03   0.7910454409285965E-01   0.3961899836429550E+00  -0.3971447300401605E+00  -0.3772986717601574E+05  -0.6628557164195877E+05   0.2899400000000000E+01   0.2818662000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3900000000000000E+02   0.1600000000000000E+03   0.7931271938104892E-01   0.3828368566664614E+00  -0.3835019854448344E+00  -0.3770721404572659E+05  -0.6628557164195877E+05   0.2943600000000000E+01   0.2865823000000001E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4300000000000000E+02   0.1600000000000000E+03   0.7931278590608278E-01   0.3769275696480612E+00  -0.3776894642618195E+00  -0.3771253877239984E+05  -0.6628557164195870E+05   0.3897600000000000E+01   0.3816808000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4700000000000000E+02   0.1600000000000000E+03   0.7948750006372284E-01   0.3827279338079909E+00  -0.3835666502359503E+00  -0.3772651071382508E+05  -0.6628557164195877E+05   0.4927600000000000E+01   0.4845227000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5100000000000000E+02   0.1600000000000000E+03   0.7961657559309498E-01   0.3873694584046657E+00  -0.3881528396348009E+00  -0.3775342641878559E+05  -0.6628557164195871E+05   0.6237400000000000E+01   0.6150729000000002E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.7970000113299940E-01   0.3938207105871017E+00  -0.3947893836275208E+00  -0.3778363084323533E+05  -0.6628557164195874E+05   0.7751600000000000E+01   0.7659510000000004E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5900000000000000E+02   0.1600000000000000E+03   0.7973921708653862E-01   0.3988502034924293E+00  -0.3999483747253296E+00  -0.3780866137257761E+05  -0.6628557164195874E+05   0.9369100000000000E+01   0.9269229000000003E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.6500000000000000E+02   0.1600000000000000E+03   0.7975981209120461E-01   0.4042472044708333E+00  -0.4054152842207959E+00  -0.3783922885321736E+05  -0.6628557164195878E+05   0.1244710000000000E+02   0.1233156200000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.7100000000000000E+02   0.1600000000000000E+03   0.7977164710081448E-01   0.4012740358812871E+00  -0.4023976240823759E+00  -0.3784902786560436E+05  -0.6628557164195867E+05   0.1567110000000000E+02   0.1553693199999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.7500000000000000E+02   0.1600000000000000E+03   0.7977526447725117E-01   0.3989077417855902E+00  -0.3999801787592626E+00  -0.3784695200397429E+05  -0.6628557164195870E+05   0.1831520000000000E+02   0.1817230300000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.8100000000000000E+02   0.1600000000000000E+03   0.7977687349000429E-01   0.3973048752383998E+00  -0.3983435687878142E+00  -0.3784368502380491E+05  -0.6628557164195883E+05   0.2320050000000000E+02   0.2303093800000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.8500000000000000E+02   0.1600000000000000E+03   0.7977706919118303E-01   0.3970084418353306E+00  -0.3980410486812989E+00  -0.3784293584089379E+05  -0.6628557164195874E+05   0.2608880000000000E+02   0.2590545000000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.9100000000000000E+02   0.1600000000000000E+03   0.7977711777095604E-01   0.3969128585140582E+00  -0.3979434378765741E+00  -0.3784270355185963E+05  -0.6628557164195877E+05   0.3192410000000000E+02   0.3171400000000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.9500000000000000E+02   0.1600000000000000E+03   0.7977712071589567E-01   0.3969047043542995E+00  -0.3979350997523468E+00  -0.3784268737368647E+05  -0.6628557164195877E+05   0.3620120000000000E+02   0.3598008600000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1010000000000000E+03   0.1600000000000000E+03   0.7977712113563898E-01   0.3969031586823261E+00  -0.3979335153584658E+00  -0.3784268507287314E+05  -0.6628557164195880E+05   0.4241090000000000E+02   0.4216017900000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1110000000000000E+03   0.1600000000000000E+03   0.7977712115397254E-01   0.3969030698397980E+00  -0.3979334250718403E+00  -0.3784268500340262E+05  -0.6628557164195878E+05   0.5598890000000000E+02   0.5568346900000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1210000000000000E+03   0.1600000000000000E+03   0.7977712115113257E-01   0.3969030698245524E+00  -0.3979334246360277E+00  -0.3784268499891820E+05  -0.6628557164195883E+05   0.7276930000000000E+02   0.7241184600000003E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1310000000000000E+03   0.1600000000000000E+03   0.7977712114476423E-01   0.3969030692159769E+00  -0.3979334245535253E+00  -0.3784268499914210E+05  -0.6628557164195868E+05   0.9317280000000000E+02   0.9275605700000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.1500000000000000E+02   0.1600000000000000E+03   0.8012576852747118E-01   0.3749074275142490E+00  -0.3667730168052786E+00  -0.3674910663642687E+05  -0.6628557165991893E+05   0.5137000000000000E+00   0.4405150000000049E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.1900000000000000E+02   0.1600000000000000E+03   0.8124296135263991E-01   0.2804265872097113E+00  -0.2870979422549710E+00  -0.3678273872019508E+05  -0.6628557164993514E+05   0.8463000000000001E+00   0.7728180000000293E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.2300000000000000E+02   0.1600000000000000E+03   0.8042228693263703E-01   0.2482896280091810E+00  -0.2487563461911997E+00  -0.3707844396909935E+05  -0.6628557164951155E+05   0.1367000000000000E+01   0.1292169999999999E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.2700000000000000E+02   0.1600000000000000E+03   0.8028453887029473E-01   0.2768648644895728E+00  -0.2752610994229379E+00  -0.3734368993855194E+05  -0.6628557164950830E+05   0.2099500000000000E+01   0.2022135999999989E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.3100000000000000E+02   0.1600000000000000E+03   0.8027237234581593E-01   0.3202814291190802E+00  -0.3197570753451510E+00  -0.3753059674494430E+05  -0.6628557164950830E+05   0.3000400000000000E+01   0.2922118000000012E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.3500000000000000E+02   0.1600000000000000E+03   0.8025645954092364E-01   0.3411851439353428E+00  -0.3407170792919343E+00  -0.3766368206104929E+05  -0.6628557164950833E+05   0.4148800000000000E+01   0.4067153000000019E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.3900000000000000E+02   0.1600000000000000E+03   0.8045610438078600E-01   0.3497283211253877E+00  -0.3489182536810999E+00  -0.3773210873832876E+05  -0.6628557164950833E+05   0.5692100000000000E+01   0.5607973000000015E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.4300000000000000E+02   0.1600000000000000E+03   0.8041883969776786E-01   0.3588060263166155E+00  -0.3580250646606228E+00  -0.3777827183536183E+05  -0.6628557164950830E+05   0.7540500000000000E+01   0.7446563999999967E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.4700000000000000E+02   0.1600000000000000E+03   0.8049631144597831E-01   0.3501614685098778E+00  -0.3493878729419380E+00  -0.3776334751615211E+05  -0.6628557164950833E+05   0.9545700000000000E+01   0.9445774000000029E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.5100000000000000E+02   0.1600000000000000E+03   0.8055239182767360E-01   0.3458124385975839E+00  -0.3452643550062368E+00  -0.3775365465374343E+05  -0.6628557164950833E+05   0.1209610000000000E+02   0.1198012799999998E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.8060009356264615E-01   0.3440038133217824E+00  -0.3435616139349411E+00  -0.3776420473015039E+05  -0.6628557164950833E+05   0.1492650000000000E+02   0.1479546000000005E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.5900000000000000E+02   0.1600000000000000E+03   0.8062682974607691E-01   0.3437734659874447E+00  -0.3433404557291736E+00  -0.3777435428742496E+05  -0.6628557164950830E+05   0.1790750000000000E+02   0.1776218900000003E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.6500000000000000E+02   0.1600000000000000E+03   0.8063633469515581E-01   0.3474953168965906E+00  -0.3470621575004103E+00  -0.3779288386175542E+05  -0.6628557164950835E+05   0.2406810000000000E+02   0.2388885700000003E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.7100000000000000E+02   0.1600000000000000E+03   0.8063645652175980E-01   0.3501141268216018E+00  -0.3496893271458246E+00  -0.3780966274283620E+05  -0.6628557164950822E+05   0.3026530000000000E+02   0.3006492600000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.7500000000000000E+02   0.1600000000000000E+03   0.8063656786409973E-01   0.3502575295083902E+00  -0.3498347318705972E+00  -0.3781576967924542E+05  -0.6628557164950827E+05   0.3544210000000000E+02   0.3521391900000003E+02
