nu / v D_11 D_31
   1.000000000000002e-05    1.354298105924519e-02    2.710720838390740e-01
   1.635430285249612e-05    1.827212456204530e-02    2.998667486271024e-01
   2.674632217911621e-05    2.395193250884660e-02    3.069192786391646e-01
   4.374174531076978e-05    2.938669459013109e-02    2.670118172887842e-01
   7.153657501090787e-05    3.126293827663396e-02    1.699644974779351e-01
   1.169930812758690e-04    2.736646872200304e-02    5.535132191961043e-02
   1.913340282832244e-04    2.030402793753827e-02   -2.096847772338659e-02
   3.129134644531902e-04    1.369553468657130e-02   -4.878974476173340e-02
   5.117481564291230e-04    8.888333636500247e-03   -4.880268257076087e-02
   8.369284334448417e-04    5.761909860032231e-03   -3.966085845907929e-02
   1.368738106642203e-03    3.853612971931661e-03   -3.039673717881509e-02
   2.238475752177866e-03    2.765340026138620e-03   -2.376758132982076e-02
   3.660871037908571e-03    2.227707020359083e-03   -1.975644045249713e-02
   5.987099365788843e-03    2.075061408256910e-03   -1.749272856314458e-02
   9.791483623609777e-03    2.208939381791881e-03   -1.623524744915175e-02
   1.601328885557700e-02    2.565755154443961e-03   -1.513984785254356e-02
   2.618861756086062e-02    3.102557726147868e-03   -1.319388753810592e-02
   4.282965828785117e-02    3.849880861935423e-03   -1.011394102901524e-02
   7.004492027084357e-02    4.974356098316588e-03   -6.703481910794552e-03
   1.145535839388316e-01    6.761529102013983e-03   -3.791991501168426e-03
   1.873444004574482e-01    9.732109128731138e-03   -1.814308733116096e-03
   3.063887062800407e-01    1.482123775346517e-02   -7.642085724836333e-04
   5.010773693088248e-01    2.344786718774587e-02   -3.002156089817479e-04
   8.194771050208539e-01    3.777469415800709e-02   -1.142832944450007e-04
   1.340197675619777e+00    6.117532760734787e-02   -4.300411023160916e-05
   2.191799866929712e+00    9.863935285606183e-02   -1.617816030973700e-05
   3.584535881582907e+00    1.562176862882264e-01   -6.136051216963798e-06
   5.862258539304581e+00    2.367712417871663e-01   -2.368486346971895e-06
   9.587315155141829e+00    3.301766171881358e-01   -9.347772907096110e-07
   1.567938555895148e+01    4.168609184418567e-01   -3.692672392090353e-07
   2.564254199721458e+01    5.089782903903939e-01   -1.390977568424041e-07
   4.193658977302965e+01    6.619561011323245e-01   -4.705417245682166e-08
   6.858436897490155e+01    9.302367854484561e-01   -1.189163334682113e-08
   1.121649541162875e+02    1.325544521856202e+00    6.983445667575898e-10
   1.834379629054091e+02    1.742758609560144e+00    4.199889000144756e-09
   2.999999999999999e+02    1.918186795262316e+00    3.875035877597745e-09
