                    nu/v	                  E_r/v	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	            t_clock [s]	Delta D11	Delta D31	Delta D13	Delta D33
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	3.5000000000E+01	1.8000000000E+02	1.4245580328E-02	2.7610027193E-01	-2.7456722067E-01	-3.1130480934E+04	-6.5481537749E+04	8.2020000000E+00	-2.6775201051E-04	-1.7088335921E-02	1.6463624124E-02	-9.4440154865E+01
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	3.9000000000E+01	1.8000000000E+02	1.3977828317E-02	2.5901193601E-01	-2.5810359655E-01	-3.1224921089E+04	-6.5481537728E+04	1.0834900000E+01	-3.2496303500E-04	-1.4334778206E-02	1.3971333578E-02	-7.0165209990E+01
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	4.3000000000E+01	1.8000000000E+02	1.3652865282E-02	2.4467715780E-01	-2.4413226297E-01	-3.1295086299E+04	-6.5481537729E+04	1.4365100000E+01	-8.4647680868E-05	-4.3565237400E-03	4.2280866284E-03	-4.9171412786E+01
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	4.7000000000E+01	1.8000000000E+02	1.3568217601E-02	2.4032063406E-01	-2.3990417634E-01	-3.1344257711E+04	-6.5481537728E+04	1.8314300000E+01	1.8380280064E-04	9.2260566138E-03	-9.3379932754E-03	-2.5485137278E+01
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	5.1000000000E+01	1.8000000000E+02	1.3752020402E-02	2.4954669068E-01	-2.4924216962E-01	-3.1369742849E+04	-6.5481537728E+04	2.3494500000E+01	5.0853713136E-05	5.9520298680E-03	-6.0029374367E-03	1.7624259028E+01
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	5.5000000000E+01	1.8000000000E+02	1.3802874115E-02	2.5549872054E-01	-2.5524510705E-01	-3.1352118590E+04	-6.5481537728E+04	2.8631800000E+01	-4.7994112262E-06	2.7999188985E-03	-3.0014715895E-03	5.7486495734E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	5.9000000000E+01	1.8000000000E+02	1.3798074704E-02	2.5829863944E-01	-2.5824657864E-01	-3.1346369940E+04	-6.5481537728E+04	3.4930200000E+01	-5.5907423109E-05	2.7573102805E-04	-2.2747455063E-04	-1.8184865949E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	6.3000000000E+01	1.8000000000E+02	1.3742167281E-02	2.5857437047E-01	-2.5847405319E-01	-3.1348188427E+04	-6.5481537728E+04	4.1547100000E+01	-6.5805794332E-05	-1.6453137075E-03	1.5999810827E-03	-5.3648830749E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	6.7000000000E+01	1.8000000000E+02	1.3676361486E-02	2.5692905676E-01	-2.5687407211E-01	-3.1353553310E+04	-6.5481537728E+04	5.0975600000E+01	-1.9819357386E-05	-1.6172671977E-03	1.6015322366E-03	2.5632726080E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	7.1000000000E+01	1.8000000000E+02	1.3656542129E-02	2.5531178957E-01	-2.5527253987E-01	-3.1350990037E+04	-6.5481537728E+04	5.9310600000E+01	4.1871528690E-05	-3.0890452943E-04	2.8583382977E-04	1.8450423151E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	7.5000000000E+01	1.8000000000E+02	1.3698413658E-02	2.5500288504E-01	-2.5498670604E-01	-3.1349144995E+04	-6.5481537728E+04	7.0183100000E+01	2.0404685940E-05	1.7257782538E-03	-1.7437149932E-03	3.9413208438E-01
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	7.9000000000E+01	1.8000000000E+02	1.3718818344E-02	2.5672866329E-01	-2.5673042104E-01	-3.1348750863E+04	-6.5481537728E+04	8.0686700000E+01	4.5656067122E-07	1.0592770661E-03	-1.0418152085E-03	-3.4519392658E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	8.3000000000E+01	1.8000000000E+02	1.3719274904E-02	2.5778794036E-01	-2.5777223625E-01	-3.1352202802E+04	-6.5481537728E+04	9.4151700000E+01	-1.6327657750E-05	1.3644875361E-04	-1.2237379683E-04	-5.4695131473E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	8.7000000000E+01	1.8000000000E+02	1.3702947247E-02	2.5792438911E-01	-2.5789461004E-01	-3.1357672315E+04	-6.5481537728E+04	1.0571240000E+02	-2.0318935725E-05	-3.6534453194E-04	3.6680967770E-04	-4.1007590302E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	9.1000000000E+01	1.8000000000E+02	1.3682628311E-02	2.5755904458E-01	-2.5752780036E-01	-3.1361773074E+04	-6.5481537728E+04	1.1978770000E+02	8.5486409658E-07	-2.6303449576E-05	1.9758073550E-05	-8.4886617685E-01
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	9.5000000000E+01	1.8000000000E+02	1.3683483175E-02	2.5753274113E-01	-2.5750804229E-01	-3.1362621940E+04	-6.5481537728E+04	1.3790820000E+02	1.2486803437E-05	2.4368530079E-04	-2.4800228374E-04	1.3246437703E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	9.9000000000E+01	1.8000000000E+02	1.3695969978E-02	2.5777642643E-01	-2.5775604457E-01	-3.1361297297E+04	-6.5481537728E+04	1.5379050000E+02	7.5042597178E-06	2.0862091031E-04	-2.1255653505E-04	1.2783753439E+00
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.0300000000E+02	1.8000000000E+02	1.3703474238E-02	2.5798504734E-01	-2.5796860111E-01	-3.1360018921E+04	-6.5481537728E+04	1.7474110000E+02	-8.6963713493E-07	-3.2838291320E-05	3.2057835395E-05	3.9728408265E-01
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.0700000000E+02	1.8000000000E+02	1.3702604601E-02	2.5795220905E-01	-2.5793654327E-01	-3.1359621637E+04	-6.5481537728E+04	1.9165970000E+02	-2.6882974514E-06	-1.3759322515E-04	1.3854450941E-04	-2.5627121940E-02
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.1100000000E+02	1.8000000000E+02	1.3699916304E-02	2.5781461582E-01	-2.5779799876E-01	-3.1359647264E+04	-6.5481537728E+04	2.1344490000E+02	-1.6226592223E-07	-9.2171238699E-06	9.2394600199E-06	-3.9318409999E-02
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.1500000000E+02	1.8000000000E+02	1.3699754038E-02	2.5780539870E-01	-2.5778875930E-01	-3.1359686583E+04	-6.5481537728E+04	2.3441530000E+02	2.0413363465E-06	5.6970912410E-05	-5.6748647774E-05	1.6297767637E-02
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.1900000000E+02	1.8000000000E+02	1.3701795374E-02	2.5786236961E-01	-2.5784550795E-01	-3.1359670285E+04	-6.5481537728E+04	2.6624700000E+02	1.6787381419E-06	3.0511334228E-05	-3.0862891934E-05	2.7420635612E-02
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.2300000000E+02	1.8000000000E+02	1.3703474112E-02	2.5789288095E-01	-2.5787637084E-01	-3.1359642864E+04	-6.5481537728E+04	2.8708370000E+02	4.1267950933E-07	-1.7805315443E-06	1.1558510893E-06	1.5080914309E-02
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.2700000000E+02	1.8000000000E+02	1.3703886792E-02	2.5789110041E-01	-2.5787521499E-01	-3.1359627783E+04	-6.5481537728E+04	3.1289040000E+02	1.8771224527E-07	-1.1365218442E-05	1.1312682848E-05	5.7968605615E-03
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.3100000000E+02	1.8000000000E+02	1.3704074504E-02	2.5787973520E-01	-2.5786390231E-01	-3.1359621987E+04	-6.5481537728E+04	3.4016040000E+02	2.4244380128E-07	-2.6485771781E-06	2.8936623643E-06	3.0793262886E-03
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.3500000000E+02	1.8000000000E+02	1.3704316948E-02	2.5787708662E-01	-2.5786100865E-01	-3.1359618907E+04	-6.5481537728E+04	3.7906330000E+02	2.3198903517E-07	2.9081001336E-06	-2.7910910093E-06	2.5844265801E-03
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.3900000000E+02	1.8000000000E+02	1.3704548937E-02	2.5787999472E-01	-2.5786379974E-01	-3.1359616323E+04	-6.5481537728E+04	4.1538670000E+02	1.1221131051E-07	1.2139310301E-06	-1.2891289403E-06	2.0482191394E-03
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.4300000000E+02	1.8000000000E+02	1.3704661148E-02	2.5788120865E-01	-2.5786508887E-01	-3.1359614275E+04	-6.5481537728E+04	4.4083010000E+02	5.0173132581E-08	-3.0875970980E-07	2.3767692281E-07	1.3607677029E-03
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.4700000000E+02	1.8000000000E+02	1.3704711321E-02	2.5788089989E-01	-2.5786485119E-01	-3.1359612914E+04	-6.5481537728E+04	4.8545200000E+02	5.8558447869E-08	-6.9591275459E-07	7.0830537319E-07	8.6726850714E-04
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.5100000000E+02	1.8000000000E+02	1.3704769880E-02	2.5788020398E-01	-2.5786414289E-01	-3.1359612047E+04	-6.5481537728E+04	5.2384600000E+02	3.9427025022E-08	-4.8709791400E-07	5.1821997971E-07	5.4258794989E-04
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.5500000000E+02	1.8000000000E+02	1.3704809307E-02	2.5787971688E-01	-2.5786362467E-01	-3.1359611504E+04	-6.5481537728E+04	5.6480480000E+02	1.3891525300E-08	-4.4627335161E-09	1.0159471431E-08	3.4922749182E-04
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.5900000000E+02	1.8000000000E+02	1.3704823198E-02	2.5787971242E-01	-2.5786361451E-01	-3.1359611155E+04	-6.5481537728E+04	5.9600160000E+02	1.3158851092E-09	2.6725531677E-08	-3.4539301585E-08	2.1954226031E-04
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.6300000000E+02	1.8000000000E+02	1.3704824514E-02	2.5787973914E-01	-2.5786364905E-01	-3.1359610935E+04	-6.5481537728E+04	6.5558680000E+02	2.3029001397E-09	-5.9402403607E-08	5.7393440667E-08	1.3009500981E-04
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.6700000000E+02	1.8000000000E+02	1.3704826817E-02	2.5787967974E-01	-2.5786359165E-01	-3.1359610805E+04	-6.5481537728E+04	6.9961720000E+02	3.6076119002E-09	-4.0380787103E-08	4.1335006196E-08	6.6052078182E-05
1.0000000000E-05	3.0000000000E-04	2.3000000000E+01	1.7100000000E+02	1.8000000000E+02	1.3704830425E-02	2.5787963936E-01	-2.5786355032E-01	-3.1359610739E+04	-6.5481537728E+04	7.5573820000E+02	3.6076119002E-09	-4.0380787103E-08	4.1335006196E-08	6.6052078182E-05
														
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.5000000000E+01	1.8000000000E+02	1.7295965080E-02	4.4268031332E-01	-4.9857715126E-01	-2.9675474560E+04	-6.5483621376E+04	1.3019000000E+00	-3.3257519294E-03	-1.7273469427E-01	2.3658185147E-01	-5.1310547333E+02
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.9000000000E+01	1.8000000000E+02	1.3970213151E-02	2.6994561905E-01	-2.6199529980E-01	-3.0188580033E+04	-6.5481457966E+04	2.4020000000E+00	5.4073512495E-06	-9.4530308636E-02	7.6021242528E-02	-4.1396293223E+02
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	2.3000000000E+01	1.8000000000E+02	1.3975620502E-02	1.7541531041E-01	-1.8597405727E-01	-3.0602542965E+04	-6.5481553843E+04	3.8699000000E+00	5.3512954661E-04	6.4878478309E-02	-4.6628114049E-02	-2.2917642849E+02
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	2.7000000000E+01	1.8000000000E+02	1.4510750049E-02	2.4029378872E-01	-2.3260217132E-01	-3.0831719394E+04	-6.5481538201E+04	6.0964000000E+00	-2.5715470325E-04	2.7697172713E-02	-3.2667067222E-02	-1.7254492622E+02
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	3.1000000000E+01	1.8000000000E+02	1.4253595345E-02	2.6799096143E-01	-2.6526923854E-01	-3.1004264320E+04	-6.5481537748E+04	9.0499000000E+00	2.5215581569E-05	8.8930207593E-03	-9.8686286702E-03	-1.4329224728E+02
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	3.5000000000E+01	1.8000000000E+02	1.4278810927E-02	2.7688398219E-01	-2.7513786721E-01	-3.1147556567E+04	-6.5481537749E+04	1.2484200000E+01	-2.7670785284E-04	-1.8972310419E-02	1.8171262334E-02	-9.4344396817E+01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	3.9000000000E+01	1.8000000000E+02	1.4002103074E-02	2.5791167177E-01	-2.5696660488E-01	-3.1241900964E+04	-6.5481537728E+04	1.7044400000E+01	-3.2618429934E-04	-9.1117231129E-03	8.4937517431E-03	-6.0989869202E+01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	4.3000000000E+01	1.8000000000E+02	1.3675918775E-02	2.4879994866E-01	-2.4847285313E-01	-3.1302890833E+04	-6.5481537729E+04	2.2719600000E+01	-9.1341241466E-05	-4.3901115116E-03	4.3317794729E-03	-4.8274599674E+01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	4.7000000000E+01	1.8000000000E+02	1.3584577533E-02	2.4440983715E-01	-2.4414107366E-01	-3.1351165433E+04	-6.5481537728E+04	2.8905200000E+01	1.8146512108E-04	7.7300013122E-03	-7.7527598191E-03	-2.7562637462E+01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	5.1000000000E+01	1.8000000000E+02	1.3766042654E-02	2.5213983846E-01	-2.5189383348E-01	-3.1378728070E+04	-6.5481537728E+04	3.6208900000E+01	5.6246964023E-05	6.3047056869E-03	-6.4381307233E-03	1.3342169052E+01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	5.5000000000E+01	1.8000000000E+02	1.3822289619E-02	2.5844454415E-01	-2.5833196420E-01	-3.1365385901E+04	-6.5481537728E+04	4.5078600000E+01	-3.4511901684E-06	1.5081136979E-03	-1.6301200232E-03	8.5511818705E+00
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	5.9000000000E+01	1.8000000000E+02	1.3818838428E-02	2.5995265785E-01	-2.5996208423E-01	-3.1356834719E+04	-6.5481537728E+04	5.6381500000E+01	-6.0348425242E-05	-3.4574182207E-04	4.0954062735E-04	2.8035838927E-01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	6.3000000000E+01	1.8000000000E+02	1.3758490003E-02	2.5960691602E-01	-2.5955254360E-01	-3.1356554361E+04	-6.5481537728E+04	6.6975900000E+01	-6.7115615705E-05	-9.3086085056E-04	9.1962583142E-04	-8.3707162242E+00
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	6.7000000000E+01	1.8000000000E+02	1.3691374387E-02	2.5867605517E-01	-2.5863291777E-01	-3.1364925077E+04	-6.5481537728E+04	7.9887400000E+01	-1.9993400929E-05	-1.0698296051E-03	1.0470274216E-03	-2.4794812068E+00
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	7.1000000000E+01	1.8000000000E+02	1.3671380986E-02	2.5760622557E-01	-2.5758589034E-01	-3.1367404558E+04	-6.5481537728E+04	9.4730700000E+01	4.3634130140E-05	1.0594917252E-03	-1.0911456146E-03	-5.2297654488E-01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	7.5000000000E+01	1.8000000000E+02	1.3715015117E-02	2.5866571729E-01	-2.5867703596E-01	-3.1367927535E+04	-6.5481537728E+04	1.1003710000E+02	2.0101853466E-05	4.6719334910E-04	-4.5785260940E-04	2.3987471790E+00
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	7.9000000000E+01	1.8000000000E+02	1.3735116970E-02	2.5913291064E-01	-2.5913488857E-01	-3.1365528788E+04	-6.5481537728E+04	1.2598240000E+02	-1.3871947337E-07	1.2852379144E-04	-1.2232320902E-04	2.1324056182E+00
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	8.3000000000E+01	1.8000000000E+02	1.3734978251E-02	2.5926143443E-01	-2.5925721178E-01	-3.1363396382E+04	-6.5481537728E+04	1.4536530000E+02	-1.6181607782E-05	-1.6128261637E-05	1.7006224289E-05	1.9002092675E+00
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	8.7000000000E+01	1.8000000000E+02	1.3718796643E-02	2.5924530617E-01	-2.5924020555E-01	-3.1361496173E+04	-6.5481537728E+04	1.6975510000E+02	-2.0629121217E-05	-5.3176368233E-04	5.3059501206E-04	2.7673813011E-01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	9.1000000000E+01	1.8000000000E+02	1.3698167522E-02	2.5871354249E-01	-2.5870961054E-01	-3.1361219435E+04	-6.5481537728E+04	1.9199120000E+02	5.5879545102E-07	-2.0030935845E-04	2.0103643921E-04	-5.2839151138E-01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	9.5000000000E+01	1.8000000000E+02	1.3698726317E-02	2.5851323313E-01	-2.5850857410E-01	-3.1361747826E+04	-6.5481537728E+04	2.1452170000E+02	1.2896320496E-05	3.0638449672E-04	-3.0567404248E-04	1.2402634780E-01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	9.9000000000E+01	1.8000000000E+02	1.3711622638E-02	2.5881961763E-01	-2.5881424814E-01	-3.1361623800E+04	-6.5481537728E+04	2.4072790000E+02	7.6136143575E-06	2.1734933856E-04	-2.1751140713E-04	7.0549175860E-01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.0300000000E+02	1.8000000000E+02	1.3719236252E-02	2.5903696697E-01	-2.5903175955E-01	-3.1360918308E+04	-6.5481537728E+04	2.7596130000E+02	-7.3172146981E-07	-3.8151493153E-05	3.7564991487E-05	5.2082691128E-01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.0700000000E+02	1.8000000000E+02	1.3718504530E-02	2.5899881547E-01	-2.5899419456E-01	-3.1360397481E+04	-6.5481537728E+04	3.0234970000E+02	-2.9273258602E-06	-1.3356085286E-04	1.3351746044E-04	1.8843142434E-01
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.1100000000E+02	1.8000000000E+02	1.3715577205E-02	2.5886525462E-01	-2.5886067710E-01	-3.1360209050E+04	-6.5481537728E+04	3.4066530000E+02	-2.0029879621E-07	-2.4395136342E-05	2.4545106497E-05	4.5232510671E-02
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.1500000000E+02	1.8000000000E+02	1.3715376906E-02	2.5884085948E-01	-2.5883613199E-01	-3.1360163817E+04	-6.5481537728E+04	3.7886980000E+02	2.0870134428E-06	5.2240002753E-05	-5.2111007822E-05	1.6142488919E-02
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.1900000000E+02	1.8000000000E+02	1.3717463919E-02	2.5889309949E-01	-2.5888824300E-01	-3.1360147675E+04	-6.5481537728E+04	4.1790290000E+02	1.7306929814E-06	2.9178449666E-05	-2.9317460490E-05	1.1239959000E-02
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.2300000000E+02	1.8000000000E+02	1.3719194612E-02	2.5892227794E-01	-2.5891756046E-01	-3.1360136435E+04	-6.5481537728E+04	4.5959040000E+02	4.4234802056E-07	-5.8461877721E-06	5.6777021177E-06	6.8376275412E-03
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.2700000000E+02	1.8000000000E+02	1.3719636960E-02	2.5891643175E-01	-2.5891188276E-01	-3.1360129597E+04	-6.5481537728E+04	4.9783060000E+02	1.6124630483E-07	-1.0338397543E-05	1.0322973318E-05	4.3393217602E-03
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.3100000000E+02	1.8000000000E+02	1.3719798207E-02	2.5890609335E-01	-2.5890155979E-01	-3.1360125258E+04	-6.5481537728E+04	5.4836820000E+02	2.3033672625E-07	4.1077243224E-07	-4.0156465170E-07	3.3317714588E-03
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.3500000000E+02	1.8000000000E+02	1.3720028543E-02	2.5890650412E-01	-2.5890196135E-01	-3.1360121926E+04	-6.5481537728E+04	5.9674580000E+02	2.3336191294E-07	4.0858671009E-06	-4.1144531886E-06	2.3973057323E-03
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.3900000000E+02	1.8000000000E+02	1.3720261905E-02	2.5891058999E-01	-2.5890607580E-01	-3.1360119529E+04	-6.5481537728E+04	6.4769120000E+02	1.1258501079E-07	1.0948889665E-06	-1.1186010580E-06	1.5895606484E-03
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.4300000000E+02	1.8000000000E+02	1.3720374490E-02	2.5891168488E-01	-2.5890719441E-01	-3.1360117939E+04	-6.5481537728E+04	7.0607580000E+02	5.0743201429E-08	-7.7150321737E-07	7.7166706003E-07	1.0107346388E-03
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.4700000000E+02	1.8000000000E+02	1.3720425233E-02	2.5891091338E-01	-2.5890642274E-01	-3.1360116929E+04	-6.5481537728E+04	7.5977030000E+02	5.7820166101E-08	-5.2112685223E-07	5.2745620249E-07	6.9652686216E-04
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.5100000000E+02	1.8000000000E+02	1.3720483054E-02	2.5891039225E-01	-2.5890589528E-01	-3.1360116232E+04	-6.5481537728E+04	7.7578220000E+02	3.9343777529E-08	4.5183618236E-08	-4.6087174188E-08	4.8703860011E-04
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.5500000000E+02	1.8000000000E+02	1.3720522397E-02	2.5891043743E-01	-2.5890594137E-01	-3.1360115745E+04	-6.5481537728E+04	8.4612340000E+02	1.3398124830E-08	1.6050371887E-07	-1.6466971631E-07	3.0961654920E-04
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.5900000000E+02	1.8000000000E+02	1.3720535795E-02	2.5891059794E-01	-2.5890610604E-01	-3.1360115435E+04	-6.5481537728E+04	9.1794800000E+02	8.5071238942E-10	5.9269802954E-09	-6.6446990132E-09	1.8978443040E-04
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.6300000000E+02	1.8000000000E+02	1.3720536646E-02	2.5891060386E-01	-2.5890611268E-01	-3.1360115246E+04	-6.5481537728E+04	9.7637960000E+02	2.3853355506E-09	-4.6350927208E-08	4.6720194324E-08	1.0687387112E-04
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.6700000000E+02	1.8000000000E+02	1.3720539031E-02	2.5891055751E-01	-2.5890606596E-01	-3.1360115139E+04	-6.5481537728E+04	1.0500472000E+03	3.7001599094E-09	-1.0643633697E-08	1.1418616885E-08	5.8473749959E-05
1.0000000000E-05	3.0000000000E-04	2.7000000000E+01	1.7100000000E+02	1.8000000000E+02	1.3720542732E-02	2.5891054687E-01	-2.5890605454E-01	-3.1360115080E+04	-6.5481537728E+04	1.1255945000E+03	3.7001599094E-09	-1.0643633697E-08	1.1418616885E-08	5.8473749959E-05
														
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	1.5000000000E+01	1.8000000000E+02	1.7342278570E-02	4.8270415732E-01	-5.4248144510E-01	-2.9673760921E+04	-6.5483621376E+04	1.7948000000E+00	-3.3517714358E-03	-2.2495821890E-01	2.9310058326E-01	-5.2271222423E+02
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	1.9000000000E+01	1.8000000000E+02	1.3990507134E-02	2.5774593842E-01	-2.4938086184E-01	-3.0196473145E+04	-6.5481457966E+04	3.4052000000E+00	-1.1287906162E-05	-8.5338147210E-02	6.6513505562E-02	-4.0949806862E+02
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	2.3000000000E+01	1.8000000000E+02	1.3979219228E-02	1.7240779121E-01	-1.8286735628E-01	-3.0605971214E+04	-6.5481553843E+04	5.7480000000E+00	5.1434485153E-04	7.5254954784E-02	-5.7575798753E-02	-2.3303663572E+02
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	2.7000000000E+01	1.8000000000E+02	1.4493564080E-02	2.4766274600E-01	-2.4044315503E-01	-3.0839007850E+04	-6.5481538201E+04	9.0952000000E+00	-2.3253693502E-04	2.0671022084E-02	-2.5153036828E-02	-1.6383172816E+02
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	3.1000000000E+01	1.8000000000E+02	1.4261027145E-02	2.6833376808E-01	-2.6559619186E-01	-3.1002839578E+04	-6.5481537748E+04	1.3126200000E+01	2.4375222233E-05	1.9336974383E-03	-2.7508565691E-03	-1.4057542088E+02
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	3.5000000000E+01	1.8000000000E+02	1.4285402367E-02	2.7026746552E-01	-2.6834704843E-01	-3.1143414999E+04	-6.5481537749E+04	1.8488000000E+01	-2.7374302378E-04	-8.7845572695E-03	7.7621853728E-03	-1.0581157403E+02
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	3.9000000000E+01	1.8000000000E+02	1.4011659343E-02	2.6148290825E-01	-2.6058486306E-01	-3.1249226573E+04	-6.5481537728E+04	2.5326100000E+01	-3.3086045985E-04	-1.3780928322E-02	1.3291958467E-02	-6.6893176538E+01
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	4.3000000000E+01	1.8000000000E+02	1.3680798883E-02	2.4770197993E-01	-2.4729290459E-01	-3.1316119749E+04	-6.5481537729E+04	3.3407200000E+01	-9.0186120418E-05	-3.9753679454E-03	3.8145286488E-03	-3.8269626939E+01
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	4.7000000000E+01	1.8000000000E+02	1.3590612763E-02	2.4372661198E-01	-2.4347837594E-01	-3.1354389376E+04	-6.5481537728E+04	4.2444600000E+01	1.8031632423E-04	1.0789043143E-02	-1.0819815392E-02	-2.6029383689E+01
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	5.1000000000E+01	1.8000000000E+02	1.3770929087E-02	2.5451565512E-01	-2.5429819133E-01	-3.1380418760E+04	-6.5481537728E+04	5.5917300000E+01	5.3063692628E-05	6.6902301016E-03	-6.8268573401E-03	8.6846671468E+00
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	5.5000000000E+01	1.8000000000E+02	1.3823992780E-02	2.6120588523E-01	-2.6112504867E-01	-3.1371734093E+04	-6.5481537728E+04	6.7035700000E+01	-3.8049922976E-06	7.0689034895E-04	-8.4278047741E-04	5.9162732665E+00
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	5.9000000000E+01	1.8000000000E+02	1.3820187787E-02	2.6191277558E-01	-2.6196782915E-01	-3.1365817820E+04	-6.5481537728E+04	8.3829200000E+01	-5.7472468455E-05	-9.4721358588E-04	1.0325292505E-03	-9.9237735080E-01
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	6.3000000000E+01	1.8000000000E+02	1.3762715319E-02	2.6096556199E-01	-2.6093529990E-01	-3.1366810197E+04	-6.5481537728E+04	1.0192510000E+02	-6.6857107623E-05	-2.0587093086E-03	2.0262093921E-03	-3.1502613172E+00
1.0000000000E-05	3.0000000000E-04	3.1000000000E+01	6.7000000000E+01	1.8000000000E+02	1.3695858211E-02	2.5890685268E-01	-2.5890909051E-01	-3.1369960458E+04	-6.5481537728E+04	1.1799880000E+02	-2.0290201539E-05	-9.0924887126E-04	9.1935333089E-04	-3.3913242951E-01
