              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.2000000000000000E+02   0.1715665718230607E+00   0.6198125812473092E+00  -0.6198125883664035E+00  -0.2830636376707848E+05  -0.6628557164949892E+05   0.5780700000000000E+01   0.5701457000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.4000000000000000E+02   0.1043098610524316E+00   0.3211715277970441E+00  -0.3211723131366476E+00  -0.3407979550825082E+05  -0.6628557164949892E+05   0.1026700000000000E+02   0.1020748200000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.6000000000000000E+02   0.9053090009663807E-01   0.3548929150398495E+00  -0.3548897590577542E+00  -0.3600349224870036E+05  -0.6628557164949892E+05   0.1516230000000000E+02   0.1507345200000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.8000000000000000E+02   0.8591324298729365E-01   0.3418729232393892E+00  -0.3418633705337659E+00  -0.3688451028113672E+05  -0.6628557164949892E+05   0.2011480000000000E+02   0.1999663600000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.1000000000000000E+03   0.8368841124312434E-01   0.3429889053215710E+00  -0.3429912503404528E+00  -0.3730197940197418E+05  -0.6628557164949892E+05   0.2498440000000000E+02   0.2483739100000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.1200000000000000E+03   0.8228663990145207E-01   0.3467860824879253E+00  -0.3467919096230566E+00  -0.3755868075627011E+05  -0.6628557164949892E+05   0.2988190000000000E+02   0.2970625600000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.1400000000000000E+03   0.8140686155275427E-01   0.3521554514035838E+00  -0.3521689734538320E+00  -0.3772273875389589E+05  -0.6628557164949892E+05   0.3473320000000000E+02   0.3452844999999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.8082667214200605E-01   0.3550022101000797E+00  -0.3549838035103841E+00  -0.3781012327633664E+05  -0.6628557164949892E+05   0.3971590000000000E+02   0.3948114600000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.1800000000000000E+03   0.8043201286249616E-01   0.3558398396302289E+00  -0.3557286725335467E+00  -0.3786793151227262E+05  -0.6628557164949892E+05   0.4454250000000000E+02   0.4427945599999998E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.2000000000000000E+03   0.8017634278664487E-01   0.3568481026691981E+00  -0.3567535981063868E+00  -0.3790119037391863E+05  -0.6628557164949892E+05   0.4950330000000000E+02   0.4921009900000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.5500000000000000E+02   0.2200000000000000E+03   0.8003971096369865E-01   0.3572979574351889E+00  -0.3571869222587369E+00  -0.3792214406143626E+05  -0.6628557164949892E+05   0.5440460000000000E+02   0.5408417300000002E+02
