              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.1500000000000000E+02   0.2400000000000000E+03   0.1454529049359421E+00  -0.7559809706350891E+01   0.1441166412688277E+02   0.3303959510491526E+05   0.2049469897322168E+06   0.3811000000000000E+00   0.5053382000000000E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.1900000000000000E+02   0.2400000000000000E+03   0.1645746368492902E+00  -0.1703524630887508E+00  -0.1188883539700730E+00   0.4561851311562584E+05   0.2049470945541784E+06   0.4259000000000000E+00   0.6701438000000000E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.2300000000000000E+02   0.2400000000000000E+03   0.1637532196593951E+00   0.1031902620713304E+01  -0.1357350617578918E+01   0.5104062280572844E+05   0.2049470934529223E+06   0.5833000000000000E+00   0.9214423000000000E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.2700000000000000E+02   0.2400000000000000E+03   0.1638200563968009E+00   0.9807144927832295E+00  -0.1095819920937711E+01   0.5386440674219511E+05   0.2049470934866292E+06   0.7762000000000000E+00   0.1229863100000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.3100000000000000E+02   0.2400000000000000E+03   0.1655250579350845E+00   0.5424278366873618E+00  -0.5674324991235568E+00   0.5535453478697805E+05   0.2049470934848379E+06   0.1010400000000000E+01   0.1602643400000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.3500000000000000E+02   0.2400000000000000E+03   0.1649273738630490E+00   0.1102188055734520E+00  -0.1175633901350117E+00   0.5599072690654576E+05   0.2049470934848244E+06   0.1328000000000000E+01   0.2109604899999999E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.3900000000000000E+02   0.2400000000000000E+03   0.1642715823261932E+00   0.2522913175936085E+00  -0.2795653164969425E+00   0.5647922517735991E+05   0.2049470934848237E+06   0.1685800000000000E+01   0.2680438300000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.4300000000000000E+02   0.2400000000000000E+03   0.1638899687425856E+00   0.3539822411114594E+00  -0.3838593062085774E+00   0.5703923484193628E+05   0.2049470934848237E+06   0.2143300000000000E+01   0.3411602100000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.4700000000000000E+02   0.2400000000000000E+03   0.1640378885358556E+00   0.2485944240530171E+00  -0.2673475621058747E+00   0.5757667775118846E+05   0.2049470934848237E+06   0.2629300000000000E+01   0.4187665300000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.5100000000000000E+02   0.2400000000000000E+03   0.1637971455458828E+00   0.1471538213997840E+00  -0.1608742233622056E+00   0.5798979106685257E+05   0.2049470934848237E+06   0.3136600000000000E+01   0.4996494500000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.5500000000000000E+02   0.2400000000000000E+03   0.1631314140477055E+00   0.1426836375418795E+00  -0.1554096486711395E+00   0.5833052021750333E+05   0.2049470934848237E+06   0.3844800000000000E+01   0.6127147700000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.5900000000000000E+02   0.2400000000000000E+03   0.1620119126629669E+00   0.1528553843886974E+00  -0.1633223845724034E+00   0.5860972095820881E+05   0.2049470934848237E+06   0.4430500000000000E+01   0.7061784100000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.6500000000000000E+02   0.2400000000000000E+03   0.1616502592725678E+00   0.1833008938374895E+00  -0.1898449604339167E+00   0.5894798408055168E+05   0.2049470934848235E+06   0.5525800000000000E+01   0.8808317799999998E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.7100000000000000E+02   0.2400000000000000E+03   0.1618261323407421E+00   0.2637803324215411E+00  -0.2744292659454650E+00   0.5922884589440229E+05   0.2049470934848237E+06   0.6277800000000000E+01   0.1000922040000000E+03
