              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.2000000000000000E+02   0.1715665640636880E+00   0.6198125423952672E+00  -0.6198126035511436E+00  -0.2830636329446776E+05  -0.6628557164949883E+05   0.4231400000000000E+01   0.4156763000000001E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.4000000000000000E+02   0.1043149802597584E+00   0.3210495826099942E+00  -0.3210498567596563E+00  -0.3407978779647649E+05  -0.6628557164949883E+05   0.6650100000000000E+01   0.6601504000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.6000000000000000E+02   0.9056450982708977E-01   0.3548417060125317E+00  -0.3548386237508256E+00  -0.3600346340896740E+05  -0.6628557164949883E+05   0.9815000000000000E+01   0.9743452000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.8000000000000000E+02   0.8593731045924796E-01   0.3418404771534523E+00  -0.3418661084657986E+00  -0.3688460679062605E+05  -0.6628557164949883E+05   0.1311320000000000E+02   0.1300060700000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.1000000000000000E+03   0.8366138264977767E-01   0.3434885648906221E+00  -0.3435368429285788E+00  -0.3730260723351713E+05  -0.6628557164949883E+05   0.1651060000000000E+02   0.1622431900000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.1200000000000000E+03   0.8229149418696584E-01   0.3482514838227586E+00  -0.3482571825810314E+00  -0.3755750797926079E+05  -0.6628557164949883E+05   0.1976590000000000E+02   0.1942252800000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.1400000000000000E+03   0.8140993623610890E-01   0.3536141198132940E+00  -0.3536319404188603E+00  -0.3771820155991891E+05  -0.6628557164949883E+05   0.2307050000000000E+02   0.2265016700000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.8084209910779096E-01   0.3568407521893681E+00  -0.3567907515229246E+00  -0.3780736792331197E+05  -0.6628557164949883E+05   0.2635690000000000E+02   0.2586624999999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.1800000000000000E+03   0.8043356605090070E-01   0.3583880422574399E+00  -0.3582829479134684E+00  -0.3786724407029940E+05  -0.6628557164949883E+05   0.2961740000000000E+02   0.2908159200000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.2000000000000000E+03   0.8014823045177921E-01   0.3595310479996014E+00  -0.3594303511546576E+00  -0.3790242425729972E+05  -0.6628557164949883E+05   0.3282540000000000E+02   0.3223294999999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.2200000000000000E+03   0.8000774765186613E-01   0.3616473443199870E+00  -0.3615758314495502E+00  -0.3792627529411339E+05  -0.6628557164949883E+05   0.3608620000000000E+02   0.3543352100000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.2400000000000000E+03   0.7994176514200049E-01   0.3616570826652234E+00  -0.3615998304777219E+00  -0.3793676638509789E+05  -0.6628557164949883E+05   0.3924500000000000E+02   0.3856834300000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.2600000000000000E+03   0.7991492520128093E-01   0.3617582642864232E+00  -0.3616931377006538E+00  -0.3794169977023579E+05  -0.6628557164949883E+05   0.4246250000000000E+02   0.4173432099999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.2800000000000000E+03   0.7990582564739959E-01   0.3616992130909438E+00  -0.3616309517947334E+00  -0.3794308460598804E+05  -0.6628557164949883E+05   0.4586710000000000E+02   0.4503010599999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.3000000000000000E+03   0.7990330163123328E-01   0.3617026571944166E+00  -0.3616369871352341E+00  -0.3794334776204851E+05  -0.6628557164949883E+05   0.4913760000000000E+02   0.4824677700000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.3200000000000000E+03   0.7990263292701685E-01   0.3617016489616276E+00  -0.3616361816606448E+00  -0.3794339668842512E+05  -0.6628557164949883E+05   0.5249250000000000E+02   0.5147488399999997E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.3400000000000000E+03   0.7990246013218692E-01   0.3617011583345375E+00  -0.3616356863078823E+00  -0.3794340502338799E+05  -0.6628557164949883E+05   0.5575800000000000E+02   0.5468303900000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.3600000000000000E+03   0.7990241978859437E-01   0.3617010838645431E+00  -0.3616356154905283E+00  -0.3794340626071643E+05  -0.6628557164949883E+05   0.5903930000000000E+02   0.5788784000000004E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.3800000000000000E+03   0.7990241252169088E-01   0.3617010664508979E+00  -0.3616355986952312E+00  -0.3794340640269490E+05  -0.6628557164949883E+05   0.6213860000000000E+02   0.6100301600000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.4000000000000000E+03   0.7990241150079273E-01   0.3617010629050949E+00  -0.3616355947114192E+00  -0.3794340642308669E+05  -0.6628557164949883E+05   0.6580230000000000E+02   0.6458959000000004E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.4200000000000000E+03   0.7990241135812309E-01   0.3617010627239584E+00  -0.3616355951777763E+00  -0.3794340643201235E+05  -0.6628557164949883E+05   0.7014770000000000E+02   0.6894083499999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.4400000000000000E+03   0.7990241133724608E-01   0.3617010624584640E+00  -0.3616355952443280E+00  -0.3794340643231147E+05  -0.6628557164949883E+05   0.7341540000000001E+02   0.7218008400000008E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.4600000000000000E+03   0.7990241133288248E-01   0.3617010626265675E+00  -0.3616355950797426E+00  -0.3794340642720258E+05  -0.6628557164949883E+05   0.7676320000000000E+02   0.7545406300000002E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.4800000000000000E+03   0.7990241133993888E-01   0.3617010626703431E+00  -0.3616355948377417E+00  -0.3794340643198029E+05  -0.6628557164949883E+05   0.8004020000000000E+02   0.7870059200000003E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.5500000000000000E+02   0.5000000000000000E+03   0.7990241133205388E-01   0.3617010625613027E+00  -0.3616355949409621E+00  -0.3794340642950817E+05  -0.6628557164949883E+05   0.8357580000000000E+02   0.8216602300000000E+02
