              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.2800000000000000E+03   0.4904287273995073E-01   0.8366076652336746E-01  -0.8356931186864693E-01  -0.1809231237242563E+05  -0.6148412804544884E+05   0.1414411000000000E+03   0.1407740140000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.3000000000000000E+03   0.4903376505859983E-01   0.8453395825603398E-01  -0.8447873882828172E-01  -0.1809475758857643E+05  -0.6148412804544884E+05   0.1514927000000000E+03   0.1507780220000002E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.3200000000000000E+03   0.4903202580457402E-01   0.8459429605750192E-01  -0.8454678259941008E-01  -0.1809538951097777E+05  -0.6148412804544884E+05   0.1615103000000000E+03   0.1607485399999998E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.3400000000000000E+03   0.4903142158468227E-01   0.8455654067552855E-01  -0.8450411923601681E-01  -0.1809560480688111E+05  -0.6148412804544884E+05   0.1715620000000000E+03   0.1707532609999998E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.3600000000000000E+03   0.4903118653181383E-01   0.8453301576774809E-01  -0.8447679900894338E-01  -0.1809567874308841E+05  -0.6148412804544884E+05   0.1815807000000000E+03   0.1807237419999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.3800000000000000E+03   0.4903110895694536E-01   0.8452619123849049E-01  -0.8446840574273323E-01  -0.1809570118916463E+05  -0.6148412804544884E+05   0.1917101000000000E+03   0.1908051829999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.4000000000000000E+03   0.4903108527738673E-01   0.8452388856865679E-01  -0.8446559301747936E-01  -0.1809570762536370E+05  -0.6148412804544884E+05   0.2017116000000000E+03   0.2007610290000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.4200000000000000E+03   0.4903107758577732E-01   0.8452292652164618E-01  -0.8446449865523069E-01  -0.1809570936080065E+05  -0.6148412804544884E+05   0.2117141000000000E+03   0.2107143560000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.4400000000000000E+03   0.4903107512106793E-01   0.8452255752927715E-01  -0.8446408689500683E-01  -0.1809570979551052E+05  -0.6148412804544884E+05   0.2218022000000000E+03   0.2207567469999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.4600000000000000E+03   0.4903107419560809E-01   0.8452241030677368E-01  -0.8446391858407444E-01  -0.1809571002604183E+05  -0.6148412804544884E+05   0.2318028000000000E+03   0.2307099900000003E+03
