              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.2000000000000000E+02   0.7624817341012757E-01   0.2559002569875145E-01  -0.2559132395235088E-01  -0.8731879849268642E+04  -0.6148412804544708E+05   0.9558999999999999E+01   0.9470245999999999E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.4000000000000000E+02   0.5749909875022323E-01   0.2426611239345849E+00  -0.2426737626832655E+00  -0.1409333915705022E+05  -0.6148412804544708E+05   0.1776700000000000E+02   0.1768895700000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.6000000000000000E+02   0.5407849827009462E-01   0.2284520192065383E+00  -0.2284742995729632E+00  -0.1590059623143455E+05  -0.6148412804544708E+05   0.2631510000000000E+02   0.2619892600000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.8000000000000000E+02   0.5256997186141156E-01   0.1605579308289709E+00  -0.1605888034391871E+00  -0.1673458963615637E+05  -0.6148412804544708E+05   0.3490100000000000E+02   0.3474679300000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.1000000000000000E+03   0.5167476745288137E-01   0.1068015506292325E+00  -0.1068564484006213E+00  -0.1718929969777749E+05  -0.6148412804544708E+05   0.4340660000000000E+02   0.4321338899999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.1200000000000000E+03   0.5107331703057590E-01   0.8074725880134211E-01  -0.8083791267486579E-01  -0.1746295476222778E+05  -0.6148412804544708E+05   0.5196430000000000E+02   0.5173288800000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.1400000000000000E+03   0.5063672874719229E-01   0.7473913768915201E-01  -0.7487052548152338E-01  -0.1764955223686787E+05  -0.6148412804544708E+05   0.6052580000000000E+02   0.6025459400000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.1600000000000000E+03   0.5028153288572221E-01   0.7842940335956244E-01  -0.7852986741597162E-01  -0.1777276427095272E+05  -0.6148412804544708E+05   0.6908610000000000E+02   0.6877753900000002E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.1800000000000000E+03   0.4990890125682917E-01   0.8520879782315015E-01  -0.8540413548067734E-01  -0.1785499275633434E+05  -0.6148412804544708E+05   0.7758950000000000E+02   0.7724217500000003E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.2000000000000000E+03   0.4966392499790304E-01   0.8829578512001213E-01  -0.8878875057890652E-01  -0.1791479569056047E+05  -0.6148412804544708E+05   0.8612690000000001E+02   0.8574134299999997E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.2200000000000000E+03   0.4947208663092720E-01   0.9145512278133246E-01  -0.9237841222826808E-01  -0.1796190397820918E+05  -0.6148412804544708E+05   0.9464840000000000E+02   0.9422301300000004E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.2400000000000000E+03   0.4930290145150615E-01   0.9564237087656818E-01  -0.9688288758800669E-01  -0.1800334573674078E+05  -0.6148412804544708E+05   0.1035038000000000E+03   0.1030414500000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.2600000000000000E+03   0.4915296226388053E-01   0.9811827661348739E-01  -0.9904418040344883E-01  -0.1803590413732827E+05  -0.6148412804544708E+05   0.1122583000000000E+03   0.1117566920000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.2800000000000000E+03   0.4902431216492294E-01   0.9835796067242825E-01  -0.9957429255448397E-01  -0.1805372631291864E+05  -0.6148412804544708E+05   0.1208326000000000E+03   0.1202930839999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.3000000000000000E+03   0.4895683003738508E-01   0.9992605510717603E-01  -0.1012091085363222E+00  -0.1806719899623488E+05  -0.6148412804544708E+05   0.1293758000000000E+03   0.1287969330000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.3200000000000000E+03   0.4892681554010898E-01   0.1002954617571228E+00  -0.1017158785418424E+00  -0.1807931743131778E+05  -0.6148412804544708E+05   0.1380129000000000E+03   0.1373955770000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.3400000000000000E+03   0.4891992993446899E-01   0.1005658370884973E+00  -0.1019865241951877E+00  -0.1808340122109354E+05  -0.6148412804544708E+05   0.1462766000000000E+03   0.1455453960000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.3600000000000000E+03   0.4891818689753492E-01   0.1008591110971970E+00  -0.1022933237840415E+00  -0.1808437942760270E+05  -0.6148412804544708E+05   0.1524277000000000E+03   0.1517235090000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.3800000000000000E+03   0.4891768096734258E-01   0.1009228269451310E+00  -0.1023559353910468E+00  -0.1808455218635104E+05  -0.6148412804544708E+05   0.1608752000000000E+03   0.1601383170000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.4000000000000000E+03   0.4891749275927840E-01   0.1009288274884379E+00  -0.1023622677263067E+00  -0.1808460867058505E+05  -0.6148412804544708E+05   0.1692825000000000E+03   0.1685060610000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.4200000000000000E+03   0.4891741172421130E-01   0.1009289432043908E+00  -0.1023621717925207E+00  -0.1808463231446633E+05  -0.6148412804544708E+05   0.1777749000000000E+03   0.1769615320000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1190000000000000E+03   0.4400000000000000E+03   0.4891738399475878E-01   0.1009290466151376E+00  -0.1023621745509324E+00  -0.1808463994333782E+05  -0.6148412804544708E+05   0.1861190000000000E+03   0.1852665500000001E+03
