              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1500000000000000E+02   0.1200000000000000E+03   0.7896741201505214E-01   0.3455505884681661E-01  -0.1235032197154654E-01  -0.3603183874880742E+05  -0.6628557165245651E+05   0.3028000000000000E+00   0.1995290000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1900000000000000E+02   0.1200000000000000E+03   0.8084621539590198E-01   0.2329946521269707E+00  -0.2362534402713159E+00  -0.3666566777665853E+05  -0.6628557164238110E+05   0.3863000000000000E+00   0.3301880000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2300000000000000E+02   0.1200000000000000E+03   0.8028654955822587E-01   0.2822514294852819E+00  -0.2852741183358674E+00  -0.3707516270414931E+05  -0.6628557164196267E+05   0.5827000000000000E+00   0.5282860000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2700000000000000E+02   0.1200000000000000E+03   0.8071799523282307E-01   0.3504884945437906E+00  -0.3505973755178648E+00  -0.3732752583617486E+05  -0.6628557164195877E+05   0.8601000000000000E+00   0.8045890000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3100000000000000E+02   0.1200000000000000E+03   0.8090656399509633E-01   0.3801893659253223E+00  -0.3799447862230148E+00  -0.3740984338298394E+05  -0.6628557164195871E+05   0.1201400000000000E+01   0.1144961000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3500000000000000E+02   0.1200000000000000E+03   0.8103022507910521E-01   0.3906600850199248E+00  -0.3919389904795457E+00  -0.3747665209801980E+05  -0.6628557164195877E+05   0.2086800000000000E+01   0.2025700000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3900000000000000E+02   0.1200000000000000E+03   0.8133323271567990E-01   0.3652467649930369E+00  -0.3663614186411381E+00  -0.3744632915122104E+05  -0.6628557164195877E+05   0.2219900000000000E+01   0.2161639000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4300000000000000E+02   0.1200000000000000E+03   0.8140009495712471E-01   0.3610196932833074E+00  -0.3617855855342249E+00  -0.3747351539791603E+05  -0.6628557164195870E+05   0.2900700000000000E+01   0.2839643000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4700000000000000E+02   0.1200000000000000E+03   0.8143629530510582E-01   0.3654585498598765E+00  -0.3661771447785782E+00  -0.3749993392408371E+05  -0.6628557164195877E+05   0.3724200000000000E+01   0.3664146000000001E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5100000000000000E+02   0.1200000000000000E+03   0.8143796341926321E-01   0.3698873640734078E+00  -0.3706359918219584E+00  -0.3752192574680872E+05  -0.6628557164195871E+05   0.4726900000000000E+01   0.4660714000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5500000000000000E+02   0.1200000000000000E+03   0.8143559288581038E-01   0.3726712856353373E+00  -0.3734439008632000E+00  -0.3753907717715557E+05  -0.6628557164195874E+05   0.5856700000000000E+01   0.5788891999999997E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5900000000000000E+02   0.1200000000000000E+03   0.8143463125962343E-01   0.3736419236186773E+00  -0.3744290938304644E+00  -0.3754921021588028E+05  -0.6628557164195874E+05   0.7101900000000000E+01   0.7024884000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.6500000000000000E+02   0.1200000000000000E+03   0.8143429801952376E-01   0.3739954156397200E+00  -0.3747912990478316E+00  -0.3755450539261497E+05  -0.6628557164195878E+05   0.9379000000000000E+01   0.9293418999999997E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.7100000000000000E+02   0.1200000000000000E+03   0.8143428431889342E-01   0.3740311330015590E+00  -0.3748287320699326E+00  -0.3755527192641205E+05  -0.6628557164195867E+05   0.1190400000000000E+02   0.1179034300000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.7500000000000000E+02   0.1200000000000000E+03   0.8143428481236717E-01   0.3740332667581067E+00  -0.3748310309907403E+00  -0.3755532548989552E+05  -0.6628557164195870E+05   0.1370250000000000E+02   0.1359217500000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.8100000000000000E+02   0.1200000000000000E+03   0.8143428497659792E-01   0.3740335713411679E+00  -0.3748313679565550E+00  -0.3755533320725633E+05  -0.6628557164195883E+05   0.1746260000000000E+02   0.1733546800000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.8500000000000000E+02   0.1200000000000000E+03   0.8143428498429028E-01   0.3740335814520582E+00  -0.3748313801311495E+00  -0.3755533344890611E+05  -0.6628557164195874E+05   0.1958510000000000E+02   0.1945041700000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.9100000000000000E+02   0.1200000000000000E+03   0.8143428498712756E-01   0.3740335817624961E+00  -0.3748313809528338E+00  -0.3755533345676867E+05  -0.6628557164195877E+05   0.2384930000000000E+02   0.2369510100000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.9500000000000000E+02   0.1200000000000000E+03   0.8143428498313698E-01   0.3740335825392880E+00  -0.3748313809948510E+00  -0.3755533346909457E+05  -0.6628557164195877E+05   0.2686980000000000E+02   0.2670564800000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1010000000000000E+03   0.1200000000000000E+03   0.8143428498680684E-01   0.3740335823661282E+00  -0.3748313808791222E+00  -0.3755533345953418E+05  -0.6628557164195880E+05   0.3241300000000000E+02   0.3222992600000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1110000000000000E+03   0.1200000000000000E+03   0.8143428499459761E-01   0.3740335822421307E+00  -0.3748313809134444E+00  -0.3755533347507069E+05  -0.6628557164195878E+05   0.4254310000000000E+02   0.4232435300000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1210000000000000E+03   0.1200000000000000E+03   0.8143428498858639E-01   0.3740335828528418E+00  -0.3748313811473443E+00  -0.3755533346885759E+05  -0.6628557164195883E+05   0.5562890000000000E+02   0.5537257199999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1310000000000000E+03   0.1200000000000000E+03   0.8143428499228261E-01   0.3740335830207859E+00  -0.3748313810670298E+00  -0.3755533345791704E+05  -0.6628557164195868E+05   0.7095699999999999E+02   0.7065744599999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.1500000000000000E+02   0.1200000000000000E+03   0.8023796673273748E-01   0.3702068617583661E+00  -0.3617923498143299E+00  -0.3674758778384515E+05  -0.6628557165991893E+05   0.3864000000000000E+00   0.3315539999999828E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.1900000000000000E+02   0.1200000000000000E+03   0.8201256362412716E-01   0.2778405121387058E+00  -0.2842672367900661E+00  -0.3678161116506411E+05  -0.6628557164993514E+05   0.6382000000000000E+00   0.5835040000000049E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.2300000000000000E+02   0.1200000000000000E+03   0.8129950374136830E-01   0.2437968285228317E+00  -0.2438342854112956E+00  -0.3707180417753325E+05  -0.6628557164951155E+05   0.1036300000000000E+01   0.9803310000000351E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.2700000000000000E+02   0.1200000000000000E+03   0.8145604998763811E-01   0.2824550911964316E+00  -0.2812924866599863E+00  -0.3729948931459762E+05  -0.6628557164950830E+05   0.1610300000000000E+01   0.1551190000000020E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.3100000000000000E+02   0.1200000000000000E+03   0.8175650662540890E-01   0.3222546363638372E+00  -0.3218579371748901E+00  -0.3738392159466057E+05  -0.6628557164950830E+05   0.2260100000000000E+01   0.2201855000000023E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.3500000000000000E+02   0.1200000000000000E+03   0.8186738060095571E-01   0.3367600952009984E+00  -0.3364072697475726E+00  -0.3747284691345963E+05  -0.6628557164950833E+05   0.3128700000000000E+01   0.3068730000000016E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.3900000000000000E+02   0.1200000000000000E+03   0.8208097125386403E-01   0.3457488946642260E+00  -0.3453903429101879E+00  -0.3750387893186611E+05  -0.6628557164950833E+05   0.4311800000000000E+01   0.4249410000000012E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.4300000000000000E+02   0.1200000000000000E+03   0.8209107477795033E-01   0.3484143576268021E+00  -0.3479491902571597E+00  -0.3753385349079778E+05  -0.6628557164950830E+05   0.5683100000000000E+01   0.5615330000000029E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.4700000000000000E+02   0.1200000000000000E+03   0.8211269765187491E-01   0.3463169699811752E+00  -0.3459849691848402E+00  -0.3753625360005630E+05  -0.6628557164950833E+05   0.7196800000000000E+01   0.7123252999999977E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.5100000000000000E+02   0.1200000000000000E+03   0.8211524332775869E-01   0.3437291352662140E+00  -0.3434647647312112E+00  -0.3753692564423840E+05  -0.6628557164950833E+05   0.9072500000000000E+01   0.8990015000000028E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.5500000000000000E+02   0.1200000000000000E+03   0.8211934737404648E-01   0.3426380869092206E+00  -0.3424021632152223E+00  -0.3754095129179052E+05  -0.6628557164950833E+05   0.1122630000000000E+02   0.1113028399999996E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.5900000000000000E+02   0.1200000000000000E+03   0.8212096951574627E-01   0.3425724127377238E+00  -0.3423421688275364E+00  -0.3754632360306140E+05  -0.6628557164950830E+05   0.1354550000000000E+02   0.1343802699999998E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.6500000000000000E+02   0.1200000000000000E+03   0.8212161254887627E-01   0.3428610507743017E+00  -0.3426320513340494E+00  -0.3755044871765853E+05  -0.6628557164950835E+05   0.1849420000000000E+02   0.1836954100000003E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.7100000000000000E+02   0.1200000000000000E+03   0.8212168217292153E-01   0.3429526308311666E+00  -0.3427233093297847E+00  -0.3755120633072370E+05  -0.6628557164950822E+05   0.2323550000000000E+02   0.2308316200000002E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.7500000000000000E+02   0.1200000000000000E+03   0.8212168673134812E-01   0.3429621448987237E+00  -0.3427327678436055E+00  -0.3755126423497310E+05  -0.6628557164950827E+05   0.2680890000000000E+02   0.2664459600000004E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.8100000000000000E+02   0.1200000000000000E+03   0.8212168748455083E-01   0.3429638998238786E+00  -0.3427345115354279E+00  -0.3755127271206814E+05  -0.6628557164950841E+05   0.3424560000000000E+02   0.3405248299999994E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.8500000000000000E+02   0.1200000000000000E+03   0.8212168751723439E-01   0.3429639686654983E+00  -0.3427345797073845E+00  -0.3755127295991765E+05  -0.6628557164950830E+05   0.3915160000000000E+02   0.3894258800000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9100000000000000E+02   0.1200000000000000E+03   0.8212168752490293E-01   0.3429639757033786E+00  -0.3427345862721815E+00  -0.3755127295538874E+05  -0.6628557164950833E+05   0.4703870000000000E+02   0.4680611199999998E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9500000000000000E+02   0.1200000000000000E+03   0.8212168751885224E-01   0.3429639757986539E+00  -0.3427345865148816E+00  -0.3755127296417304E+05  -0.6628557164950833E+05   0.5382880000000000E+02   0.5357752000000005E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.1010000000000000E+03   0.1200000000000000E+03   0.8212168752286225E-01   0.3429639755056803E+00  -0.3427345864114266E+00  -0.3755127296344029E+05  -0.6628557164950836E+05   0.6465910000000000E+02   0.6437634299999991E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.1110000000000000E+03   0.1200000000000000E+03   0.8212168752153781E-01   0.3429639764887671E+00  -0.3427345866338900E+00  -0.3755127297070606E+05  -0.6628557164950836E+05   0.8208710000000001E+02   0.8175593400000002E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.1210000000000000E+03   0.1200000000000000E+03   0.8212168752414628E-01   0.3429639756465693E+00  -0.3427345863800960E+00  -0.3755127296720617E+05  -0.6628557164950842E+05   0.1047129000000000E+03   0.1043186590000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.1310000000000000E+03   0.1200000000000000E+03   0.8212168752484589E-01   0.3429639761090362E+00  -0.3427345864418771E+00  -0.3755127296916813E+05  -0.6628557164950826E+05   0.1330339000000000E+03   0.1325633989999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1500000000000000E+02   0.1200000000000000E+03   0.8086712883339463E-01   0.2186002585569799E+00  -0.2116750449013793E+00  -0.3633268781375801E+05  -0.6628557165990639E+05   0.5868000000000000E+00   0.5322009999999864E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1900000000000000E+02   0.1200000000000000E+03   0.8276194427739561E-01   0.3160074054470227E+00  -0.3161200019140779E+00  -0.3729971978540227E+05  -0.6628557164992615E+05   0.1032200000000000E+01   0.9761300000000119E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.2300000000000000E+02   0.1200000000000000E+03   0.8165783748716506E-01   0.2321755003262911E+00  -0.2304293091489210E+00  -0.3717412892397444E+05  -0.6628557164950209E+05   0.1669100000000000E+01   0.1610654000000068E+01
