              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.2000000000000000E+02   0.4941250513313128E+00   0.4522652328077716E-01  -0.4522667318458646E-01  -0.2136384716418044E+05  -0.6548153772849291E+05   0.7801270000000000E+02   0.7771502400000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.4000000000000000E+02   0.4509446868156364E+00   0.1183069279207401E+00  -0.1183070437014812E+00  -0.2744711956355245E+05  -0.6548153772849291E+05   0.1500887000000000E+03   0.1496092270000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.6000000000000000E+02   0.4423694317178494E+00   0.1414170472735914E-01  -0.1414175390704529E-01  -0.2939420185521172E+05  -0.6548153772849291E+05   0.2227233000000000E+03   0.2220114160000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.8000000000000000E+02   0.4382908991655797E+00   0.2230649415031451E-01  -0.2230584632232551E-01  -0.3025782345776960E+05  -0.6548153772849291E+05   0.2946679000000000E+03   0.2937276869999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.1000000000000000E+03   0.4357386217042751E+00   0.4980154783170161E-01  -0.4980540619015957E-01  -0.3071177548213900E+05  -0.6548153772849291E+05   0.3668200000000000E+03   0.3656485270000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.1200000000000000E+03   0.4340865409953387E+00   0.6122409538873785E-01  -0.6123996190755887E-01  -0.3097738415630616E+05  -0.6548153772849291E+05   0.4388078000000000E+03   0.4374031749999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.1400000000000000E+03   0.4329954049469276E+00   0.6502577994703657E-01  -0.6505216358208724E-01  -0.3114481932511648E+05  -0.6548153772849291E+05   0.5115089000000000E+03   0.5098765149999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.1600000000000000E+03   0.4322535636587784E+00   0.6660723824156323E-01  -0.6662348668631818E-01  -0.3125666638462249E+05  -0.6548153772849291E+05   0.5845282999999999E+03   0.5826148370000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.1800000000000000E+03   0.4317143720111291E+00   0.6741033914475138E-01  -0.6740467140034116E-01  -0.3133479111692435E+05  -0.6548153772849291E+05  -0.2140929053000000E+06   0.6529900379999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.2000000000000000E+03   0.4313266244547739E+00   0.6819876580778286E-01  -0.6817760783842594E-01  -0.3139068639094622E+05  -0.6548153772849291E+05   0.7271394000000000E+03   0.7248147530000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.2200000000000000E+03   0.4310501964252162E+00   0.6902465327367062E-01  -0.6900682936304883E-01  -0.3143097644895084E+05  -0.6548153772849291E+05   0.7985894000000000E+03   0.7960382430000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.2400000000000000E+03   0.4308383521359723E+00   0.6970951479296844E-01  -0.6971115486600356E-01  -0.3146020935279159E+05  -0.6548153772849291E+05   0.8713773000000000E+03   0.8685910750000003E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.2600000000000000E+03   0.4306725831750387E+00   0.7033779872503086E-01  -0.7036108908741216E-01  -0.3148175813940617E+05  -0.6548153772849291E+05   0.9438244999999999E+03   0.9407856609999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.2800000000000000E+03   0.4305594060630940E+00   0.7095284003514253E-01  -0.7099677923868612E-01  -0.3149781302425152E+05  -0.6548153772849291E+05   0.1015078500000000E+04   0.1011848775000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.3000000000000000E+03   0.4304845459057581E+00   0.7130170074637847E-01  -0.7135558042178737E-01  -0.3150956250024317E+05  -0.6548153772849291E+05   0.1088483400000000E+04   0.1084997627000001E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.3200000000000000E+03   0.4304351326625615E+00   0.7136037672053477E-01  -0.7141428814216352E-01  -0.3151848645047886E+05  -0.6548153772849291E+05   0.1159786200000000E+04   0.1156067308000002E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.3400000000000000E+03   0.4304051775145941E+00   0.7120570513002081E-01  -0.7125363819702349E-01  -0.3152650229541167E+05  -0.6548153772849291E+05   0.1230874900000000E+04   0.1226867628000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.3600000000000000E+03   0.4303875318536218E+00   0.7100482340354711E-01  -0.7104326497576056E-01  -0.3153208509794614E+05  -0.6548153772849291E+05   0.1302864100000000E+04   0.1298675481000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.3800000000000000E+03   0.4303774914990304E+00   0.7095407644792992E-01  -0.7098366416804282E-01  -0.3153434993808969E+05  -0.6548153772849291E+05   0.1376194600000000E+04   0.1371781313000001E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.4000000000000000E+03   0.4303718421190715E+00   0.7089571403352367E-01  -0.7091807334630891E-01  -0.3153564622263139E+05  -0.6548153772849291E+05   0.1447815000000000E+04   0.1443134511000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.4200000000000000E+03   0.4303687512917668E+00   0.7083875750112169E-01  -0.7085566124241106E-01  -0.3153643625079652E+05  -0.6548153772849291E+05   0.1524181100000000E+04   0.1519299552000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.4400000000000000E+03   0.4303671028914598E+00   0.7079944756275725E-01  -0.7081279844058132E-01  -0.3153693103141299E+05  -0.6548153772849291E+05   0.1592570100000000E+04   0.1587423675999999E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.4600000000000000E+03   0.4303662325884461E+00   0.7077564078713708E-01  -0.7078670500813322E-01  -0.3153721538777943E+05  -0.6548153772849291E+05   0.1663877400000000E+04   0.1658555611000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.4800000000000000E+03   0.4303658319637089E+00   0.7076165721816927E-01  -0.7077145318257477E-01  -0.3153735294275449E+05  -0.6548153772849291E+05   0.1736605200000000E+04   0.1731037050999999E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.5000000000000000E+03   0.4303656524138655E+00   0.7075533245072456E-01  -0.7076460304513783E-01  -0.3153741110634737E+05  -0.6548153772849291E+05   0.1808039300000000E+04   0.1802225742999999E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.5200000000000000E+03   0.4303655748556258E+00   0.7075305008115736E-01  -0.7076213320772244E-01  -0.3153743396518693E+05  -0.6548153772849291E+05   0.1879711900000000E+04   0.1873708957999999E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.2300000000000000E+02   0.1630000000000000E+03   0.5400000000000000E+03   0.4303655445346947E+00   0.7075225104067692E-01  -0.7076125690222022E-01  -0.3153744220213269E+05  -0.6548153772849291E+05   0.1951778000000000E+04   0.1945489435000000E+04
