nu / v, D_11, D_31
   9.999999999999984e-06,    4.910335425058689e-02,    9.137353656804439e-02
   1.635430285249605e-05,    3.013008292259525e-02,    7.206531515038071e-02
   2.674632217911610e-05,    1.852142972255272e-02,    5.556874107277125e-02
   4.374174531076968e-05,    1.141484914871225e-02,    3.791539043476740e-02
   7.153657501090764e-05,    7.055398131093076e-03,    1.869881124145031e-02
   1.169930812758687e-04,    4.372231447147293e-03,    2.522011899056922e-03
   1.913340282832238e-04,    2.716757431751063e-03,   -7.174185725421570e-03
   3.129134644531892e-04,    1.695315211047721e-03,   -1.081363049182896e-02
   5.117481564291223e-04,    1.066764050030710e-03,   -1.071169390126325e-02
   8.369284334448390e-04,    6.829142766097057e-04,   -9.036952260259343e-03
   1.368738106642201e-03,    4.531625215780621e-04,   -7.112913179980133e-03
   2.238475752177858e-03,    3.227987391684088e-04,   -5.505423858273547e-03
   3.660871037908566e-03,    2.597445044674300e-04,   -4.333160272906764e-03
   5.987099365788824e-03,    2.468041199370756e-04,   -3.530973434984934e-03
   9.791483623609763e-03,    2.777845016599227e-04,   -2.994295917196419e-03
   1.601328885557698e-02,    3.563475947694441e-04,   -2.638154503685385e-03
   2.618861756086058e-02,    4.951197548194463e-04,   -2.400368819017676e-03
   4.282965828785112e-02,    7.115653609537326e-04,   -2.233245115185092e-03
   7.004492027084347e-02,    1.019173195413879e-03,   -2.052496706587689e-03
   1.145535839388315e-01,    1.432148549161243e-03,   -1.712203908759745e-03
   1.873444004574479e-01,    2.005841139949823e-03,   -1.189300147925067e-03
   3.063887062800403e-01,    2.885814218615662e-03,   -6.692883722982989e-04
   5.010773693088242e-01,    4.346045809978658e-03,   -3.181093086218750e-04
   8.194771050208527e-01,    6.812336478144414e-03,   -1.355700112479412e-04
   1.340197675619775e+00,    1.093281719999028e-02,   -5.386928830882905e-05
   2.191799866929710e+00,    1.774229781376931e-02,   -2.049875123589354e-05
   3.584535881582906e+00,    2.892879555776947e-02,   -7.640478600030249e-06
   5.862258539304579e+00,    4.725652010760915e-02,   -2.816135274232874e-06
   9.587315155141825e+00,    7.725114350380582e-02,   -1.016483796815240e-06
   1.567938555895147e+01,    1.263182470164160e-01,   -3.447774397056507e-07
   2.564254199721459e+01,    2.065720670628653e-01,   -9.386259919597264e-08
   4.193658977302963e+01,    3.378264944252123e-01,   -7.445733872032248e-11
   6.858436897490158e+01,    5.524869587550404e-01,    3.498706585431728e-08
   1.121649541162876e+02,    9.035510174131185e-01,    4.809531424889038e-08
   1.834379629054092e+02,    1.477692932733967e+00,    5.299609017597942e-08
   3.000000000000001e+02,    2.416662695012631e+00,    5.482818355072185e-08
