              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.6500000000000000E+02   0.4000000000000000E+02   0.5749966708475597E-01   0.2426684635733507E+00  -0.2426678796844161E+00  -0.1409334369932348E+05  -0.6148412804544882E+05   0.5644400000000000E+01   0.2248557900000014E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7100000000000000E+02   0.4000000000000000E+02   0.5749966887170519E-01   0.2426664420369504E+00  -0.2426668741055974E+00  -0.1409334189138508E+05  -0.6148412804544885E+05   0.7069400000000000E+01   0.2817231999999785E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.4000000000000000E+02   0.5749966878794115E-01   0.2426666476931862E+00  -0.2426667815277240E+00  -0.1409334153958171E+05  -0.6148412804544882E+05   0.8164899999999999E+01   0.3254331699999602E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.8100000000000000E+02   0.4000000000000000E+02   0.5749966881707709E-01   0.2426670164501735E+00  -0.2426667190118093E+00  -0.1409334190956355E+05  -0.6148412804544878E+05   0.9965000000000000E+01   0.3972528900000179E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.8500000000000000E+02   0.4000000000000000E+02   0.5749966873162794E-01   0.2426664311584073E+00  -0.2426670106624545E+00  -0.1409334147002766E+05  -0.6148412804544882E+05   0.1136200000000000E+02   0.4529992099999799E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.9100000000000000E+02   0.4000000000000000E+02   0.5749966867282439E-01   0.2426670487618506E+00  -0.2426667497273694E+00  -0.1409334198780941E+05  -0.6148412804544884E+05   0.1381540000000000E+02   0.5508883500000229E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.9500000000000000E+02   0.4000000000000000E+02   0.5749966887799239E-01   0.2426664289998782E+00  -0.2426665633692552E+00  -0.1409334153293934E+05  -0.6148412804544882E+05   0.1561270000000000E+02   0.6225882400000410E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.1010000000000000E+03   0.4000000000000000E+02   0.5749966897005435E-01   0.2426681859257550E+00  -0.2426666307373304E+00  -0.1409334173495253E+05  -0.6148412804544878E+05   0.1872020000000000E+02   0.7465906800000084E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.1110000000000000E+03   0.4000000000000000E+02   0.5749966892773382E-01   0.2426653882817247E+00  -0.2426668031290897E+00  -0.1409334170343502E+05  -0.6148412804544880E+05   0.2362770000000000E+02   0.9414753699999710E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.1210000000000000E+03   0.4000000000000000E+02   0.5749966864392830E-01   0.2426679061130078E+00  -0.2426666023896349E+00  -0.1409334161849931E+05  -0.6148412804544882E+05   0.2973090000000000E+02   0.1183631759999989E+03
