              nu/v [m^-1]         E_r/v [V s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.8083370894679676E-01   0.3558097168065910E+00  -0.3557974189432432E+00   0.3781812078658496E+05   0.6628557164949892E+05   0.6692700000000001E+02   0.5304805350000000E+03
   0.3000000000000000E-04   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2810661936903333E-01   0.3256727047211813E+00  -0.3256699118803155E+00   0.1291631323130476E+05   0.2209519054983298E+05   0.6793700000000000E+02   0.5390441189999999E+03
   0.1000000000000000E-03   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.9699155660888558E-02   0.2329025257390799E+00  -0.2329024600925948E+00   0.4016302448305657E+04   0.6628557164949895E+04   0.7625000000000000E+02   0.6059785159999999E+03
